0	1443	1055	1310	1549	1572	1471	1642	1378	1656	1237	1651	1482	1153	1142	1213	982	1653	1189	1667	994	1354	1562	1721	1384	1639	1566	1423	1699	1718	
1443	0	1190	1182	1522	1349	1593	1659	1179	1195	1613	1375	1450	1673	1682	1284	1303	1325	1756	927	1527	1592	1738	1363	1716	1248	1115	1274	955	1247	
1055	1190	0	1152	996	1506	983	1134	933	1025	1293	1158	1705	1302	1448	1140	1732	1538	1743	1503	1671	1627	1096	1794	1725	1640	1395	1426	1365	1749	
1310	1182	1152	0	958	1536	1289	1278	1062	1460	1459	1615	924	1479	965	1548	1414	1245	1151	1755	1616	1717	1683	1655	1515	1356	1507	1638	1355	1144	
1549	1522	996	958	0	1390	1461	1663	943	1077	1429	1024	1446	1309	921	1301	1007	1723	1679	1108	1535	1064	1499	1010	1666	1389	1002	1041	975	1326	
1572	1349	1506	1536	1390	0	1742	1032	1344	1634	1039	1569	1579	1547	1360	1338	1631	1524	1447	993	1398	1531	1614	966	1754	1100	1178	1409	1470	1038	
1471	1593	983	1289	1461	1742	0	1050	1455	1106	1233	1740	1551	1282	1256	1323	1489	1528	1480	1175	1757	1784	1343	1662	976	1498	1687	1009	930	1071	
1642	1659	1134	1278	1663	1032	1050	0	1570	1112	1155	1174	1280	932	972	1133	1539	1322	1273	1339	1585	1600	1347	1000	1380	1308	1510	1198	1075	1235	
1378	1179	933	1062	943	1344	1455	1570	0	1251	1353	1543	1770	1530	981	1601	1407	1609	1132	1393	1368	1728	1243	1620	1700	1069	1225	1035	1648	1200	
1656	1195	1025	1460	1077	1634	1106	1112	1251	0	1537	1260	1223	1194	1139	957	1658	1776	1424	1567	1145	1026	977	1729	1037	1605	1508	1690	1708	1377	
1237	1613	1293	1459	1429	1039	1233	1155	1353	1537	0	1227	1030	1206	1546	1597	1240	1573	1692	1488	1201	1556	1595	1779	1775	1275	1340	1295	1764	1722	
1651	1375	1158	1615	1024	1569	1740	1174	1543	1260	1227	0	1312	1337	1554	1329	1591	1550	936	1043	1143	1005	1474	1137	1044	1685	1129	1418	1400	1165	
1482	1450	1705	924	1446	1579	1551	1280	1770	1223	1030	1312	0	1125	1216	1317	1445	1561	1425	980	1711	1440	1737	1086	1649	1170	1622	1435	1292	915	
1153	1673	1302	1479	1309	1547	1282	932	1530	1194	1206	1337	1125	0	1218	901	1678	1320	1696	1357	1521	1305	1193	1168	1332	1430	913	919	1122	906	
1142	1682	1448	965	921	1360	1256	972	981	1139	1546	1554	1216	1218	0	1167	1080	1203	1458	1676	1188	1266	1475	1552	904	1381	1104	1079	1351	948	
1213	1284	1140	1548	1301	1338	1323	1133	1601	957	1597	1329	1317	901	1167	0	938	1727	1264	1396	1484	1109	1342	1704	1270	1466	1124	1736	1085	1587	
982	1303	1732	1414	1007	1631	1489	1539	1407	1658	1240	1591	1445	1678	1080	938	0	1751	947	1485	1181	1386	1015	1724	1296	1762	902	1694	1047	1088	
1653	1325	1538	1245	1723	1524	1528	1322	1609	1776	1573	1550	1561	1320	1203	1727	1751	0	934	1457	918	1505	1127	1321	1618	1196	1192	1345	1454	907	
1189	1756	1743	1151	1679	1447	1480	1273	1132	1424	1692	936	1425	1696	1458	1264	947	934	0	1012	1617	1156	1670	1476	1294	1186	1159	1093	974	1371	
1667	927	1503	1755	1108	993	1175	1339	1393	1567	1488	1043	980	1357	1676	1396	1485	1457	1012	0	1217	1011	1672	1785	1147	1602	1793	1136	1768	1502	
994	1527	1671	1616	1535	1398	1757	1585	1368	1145	1201	1143	1711	1521	1188	1484	1181	918	1617	1217	0	1306	903	1157	1146	1707	1514	1057	1782	1431	
1354	1592	1627	1717	1064	1531	1784	1600	1728	1026	1556	1005	1440	1305	1266	1109	1386	1505	1156	1011	1306	0	1540	1097	1419	1199	1766	1084	1791	1091	
1562	1738	1096	1683	1499	1614	1343	1347	1243	977	1595	1474	1737	1193	1475	1342	1015	1127	1670	1672	903	1540	0	1226	1518	1500	1428	1710	1778	1590	
1721	1363	1794	1655	1010	966	1662	1000	1620	1729	1779	1137	1086	1168	1552	1704	1724	1321	1476	1785	1157	1097	1226	0	1287	1571	1246	1102	1758	1063	
1384	1716	1725	1515	1666	1754	976	1380	1700	1037	1775	1044	1649	1332	904	1270	1296	1618	1294	1147	1146	1419	1518	1287	0	942	941	1463	1271	1092	
1639	1248	1640	1356	1389	1100	1498	1308	1069	1605	1275	1685	1170	1430	1381	1466	1762	1196	1186	1602	1707	1199	1500	1571	942	0	1767	1449	1481	1073	
1566	1115	1395	1507	1002	1178	1687	1510	1225	1508	1340	1129	1622	913	1104	1124	902	1192	1159	1793	1514	1766	1428	1246	941	1767	0	1469	929	1747	
1423	1274	1426	1638	1041	1409	1009	1198	1035	1690	1295	1418	1435	919	1079	1736	1694	1345	1093	1136	1057	1084	1710	1102	1463	1449	1469	0	1074	1787	
1699	955	1365	1355	975	1470	930	1075	1648	1708	1764	1400	1292	1122	1351	1085	1047	1454	974	1768	1782	1791	1778	1758	1271	1481	929	1074	0	1163	
1718	1247	1749	1144	1326	1038	1071	1235	1200	1377	1722	1165	915	906	948	1587	1088	907	1371	1502	1431	1091	1590	1063	1092	1073	1747	1787	1163	0	
